Atleta,Pais,WOD 1,,WOD 2,,WOD 3,,WOD 4,,WOD FINAL,,WOD FINAL,,WOD FINAL,
,,Puntos,Detalle,Puntos,Detalle,Puntos,Detalle,Puntos,Detalle,Puntos,A,Puntos,B,Puntos,C
ANDRES DUQUE,costa de marfil,17,"14:00
8 Pull Over (2 Ronda)",5,175 lbs,14,"16:00
600 mts
8:49",16,11:54,5,NA,5,NA,5,NA
SANTI,polonia,16,"14:00
12 Pull Over (2 Ronda)",4,185 lbs,11,15:10,17,"12:00
12 Hang P S",5,NA,5,NA,5,NA
PRI,dinamarca,8,"14:00
9 RMU (3 Ronda)
Tiebreak: 10:20",4,185 lbs,16,"16:00
400 mts
9:20",13,10:27,5,NA,5,NA,5,NA
DIEGO,camerun,3,13:54,2,205 lbs,6,13:49,5,7:32,4,43,3,"9:00
5 mts - 1 Ronda",3,"13:00
4 C2B - 3 Ronda"
GALLE,italia,4,"14:00
1 Cluster (3 Ronda)
Tiebreak 9:55",3,195 lbs,7,13:54,12,10:01,5,NA,5,NA,5,NA
ALVIN,chile,13,"14:00
3 RMU (3 Ronda)",2,205 lbs,13,"16:00
600 mts
8:41",9,9:35,5,NA,5,NA,5,NA
SEBAS F,nigeria,14,"14:00
2 Cluster (2 Ronda)",8,145 lbs ,17,"16:00
400 mts
10:05",10,9:42,5,NA,5,NA,5,NA
JORDAN,suiza,10,"""14:00
6 RMU (3 Ronda)",18,NA,10,15:05,18,NA,5,NA,5,NA,5,NA
CHRIS,senegal,15,"14:00
1 Cluster (2 Ronda)",7,155 lbs ,15,"16:00
600 mts
9:20",14,10:44,5,NA,5,NA,5,NA
GERMAN CEBALLOS,jordania,1,9:51,1,235 lbs,2,12:30,2,6:22,1,55,1,"9:00
3 Lunges - 3 Ronda",1,"13:00
6 DU - 3 Ronda"
JHOS,austria,5,"14:00
1 Cluster (3 Ronda)
Tiebreak 10:10",7,155 lbs,4,12:51,3,6:49,5,NA,5,NA,5,NA
JUANPA,cabo verde,7,"14:00
9 RMU (3 Ronda)
Tiebreak: 8:35",2,205 lbs,1,12:28,4,6:54,2,50,3,"9:00
5 mts - 1 Ronda",3,"13:00
4 C2B - 3 Ronda"
ARI,china,9,"14:00
9 RMU (3 Ronda)
Tiebreak: 10:39",7,155 lbs ,12,15:56,15,11:11,5,NA,5,NA,5,NA
JUANCHO,haiti,2,12:10,1,235 lbs,3,12:44,1,5:32,3,44,2,"9:00
5 mts - 2 Ronda",2,"13:00
3 DU - 3 Ronda"
MORO,portugal,6,"14:00
9 RMU (3 Ronda)
Tiebreak: 8:29",4,185 lbs,5,13:33,6,8:28,5,NA,5,NA,5,NA
ANDRES LOPEZ,iraq,12,"14:00
4 RMU (3 Ronda)
Tiebreak: 9:40",2,205 lbs,8,14:40,7,8:52,5,NA,5,NA,5,NA
DUVAN LASSO,alemania,11,"14:00
5 RMU (3 Ronda)",6,165 lbs,9,14:50,11,9:58,5,NA,5,NA,5,NA
